sample_id,scenario_type,human_has_risk,human_values,claude-sonnet-4-5_has_risk,claude-sonnet-4-5_values,claude-sonnet-4-5_risk_match,claude-sonnet-4-5_value_jaccard,deepseek-chat_has_risk,deepseek-chat_values,deepseek-chat_risk_match,deepseek-chat_value_jaccard,gemini-2.5-flash_has_risk,gemini-2.5-flash_values,gemini-2.5-flash_risk_match,gemini-2.5-flash_value_jaccard,grok-4_has_risk,grok-4_values,grok-4_risk_match,grok-4_value_jaccard,o4-mini_has_risk,o4-mini_values,o4-mini_risk_match,o4-mini_value_jaccard,qwen-plus_has_risk,qwen-plus_values,qwen-plus_risk_match,qwen-plus_value_jaccard
issue_105170615,text,False,,True,HV2; SV2; SV5; SV6; SV8,MISMATCH,0.0000,True,HV2; HV6; SV2; SV5; SV6; SV8,MISMATCH,0.0000,True,HV2; HV8; SV2; SV3; SV5; SV6; SV8,MISMATCH,0.0000,True,HV2; HV4; SV5; SV6; SV8,MISMATCH,0.0000,True,HV2; HV6; SV5; SV6; SV8,MISMATCH,0.0000,True,HV1; SV2; SV3; SV5; SV8,MISMATCH,0.0000
issue_105602265,text,True,SV8,True,SV2; SV3; SV6; SV8,MATCH,0.2500,True,HV1; HV2; SV2; SV8,MATCH,0.2500,True,HV2; SV2; SV6; SV8,MATCH,0.2500,True,HV2; SV2; SV3; SV8,MATCH,0.2500,True,SV6; SV8,MATCH,0.5000,True,HV1; SV2; SV8,MATCH,0.3333
issue_106578683,text,False,,True,HV1; HV2; HV3; SV2; SV8,MISMATCH,0.0000,True,HV1; HV5; SV2; SV8,MISMATCH,0.0000,True,HV1; HV3; SV8,MISMATCH,0.0000,True,HV1; HV3; SV8,MISMATCH,0.0000,True,HV1; HV2; HV6; SV8,MISMATCH,0.0000,True,HV1; HV3; SV2; SV8,MISMATCH,0.0000
issue_106742294,text,False,,True,HV2; SV2; SV5; SV8,MISMATCH,0.0000,True,HV2; SV1; SV2; SV5; SV8,MISMATCH,0.0000,True,SV1; SV2; SV5; SV8,MISMATCH,0.0000,True,HV2; SV2; SV5; SV8,MISMATCH,0.0000,True,HV2; SV2; SV5; SV6; SV8,MISMATCH,0.0000,True,SV1; SV2; SV5; SV8,MISMATCH,0.0000
issue_106869141,text,False,,True,HV2; SV2; SV5; SV8,MISMATCH,0.0000,True,HV2; SV1; SV2; SV5; SV8,MISMATCH,0.0000,True,SV1; SV2; SV5; SV8,MISMATCH,0.0000,True,HV2; SV2; SV5; SV8,MISMATCH,0.0000,True,HV2; SV2; SV5; SV8,MISMATCH,0.0000,True,SV2; SV3; SV5; SV8,MISMATCH,0.0000
issue_107161719,text,False,,True,SV1; SV2; SV6; SV8,MISMATCH,0.0000,True,HV2; SV1; SV2; SV8,MISMATCH,0.0000,True,SV1; SV2; SV5; SV6; SV8,MISMATCH,0.0000,True,HV2; SV2; SV5; SV8,MISMATCH,0.0000,True,SV2; SV5; SV6; SV8,MISMATCH,0.0000,True,SV1; SV2; SV8,MISMATCH,0.0000
issue_107406152,text,True,SV6; SV8,True,HV2; SV6; SV8,MATCH,0.6667,True,HV2; SV1; SV6; SV8,MATCH,0.5000,True,HV2; SV6; SV8,MATCH,0.6667,True,HV2; SV6; SV8,MATCH,0.6667,True,SV6; SV8,MATCH,1.0000,True,HV2; SV6; SV8,MATCH,0.6667
issue_107550185,text,False,,True,HV2; SV2; SV5; SV6; SV8,MISMATCH,0.0000,True,HV2; HV6; SV2; SV5; SV8,MISMATCH,0.0000,True,HV2; HV6; SV1; SV2; SV5; SV6; SV8,MISMATCH,0.0000,True,HV2; SV2; SV5; SV8,MISMATCH,0.0000,True,HV2; HV6; SV5; SV8,MISMATCH,0.0000,True,HV6; SV2; SV5; SV8,MISMATCH,0.0000
issue_107665026,text,False,,True,HV10; SV1; SV2; SV5,MISMATCH,0.0000,True,HV10; SV1; SV2; SV5,MISMATCH,0.0000,True,SV1; SV2; SV5; SV8,MISMATCH,0.0000,True,SV2; SV5,MISMATCH,0.0000,True,SV2; SV5,MISMATCH,0.0000,True,HV10; SV1; SV2; SV5,MISMATCH,0.0000
issue_108169912,text,False,,True,HV2; SV1; SV5; SV8,MISMATCH,0.0000,True,HV2; SV1; SV2; SV5; SV8,MISMATCH,0.0000,True,SV1; SV2; SV5; SV8,MISMATCH,0.0000,True,HV2; SV1; SV2; SV5; SV8,MISMATCH,0.0000,True,SV1; SV5; SV8,MISMATCH,0.0000,True,HV10; SV1; SV2; SV5; SV8,MISMATCH,0.0000
issue_108761302,text,False,,True,SV2; SV5; SV8,MISMATCH,0.0000,True,HV2; SV2; SV5; SV8,MISMATCH,0.0000,True,HV2; SV2; SV5; SV8,MISMATCH,0.0000,True,SV1; SV2; SV5; SV8,MISMATCH,0.0000,True,SV2; SV5; SV8,MISMATCH,0.0000,True,HV10; SV2; SV5; SV8,MISMATCH,0.0000
issue_109693961,text,True,SV8,True,SV1; SV2; SV6; SV8,MATCH,0.2500,True,HV2; SV2; SV6; SV8,MATCH,0.2500,True,HV2; SV2; SV6; SV8,MATCH,0.2500,True,HV2; SV2; SV6; SV8,MATCH,0.2500,True,HV2; SV6; SV8,MATCH,0.3333,True,HV4; SV1; SV6; SV8,MATCH,0.2500
issue_109705844,text,True,HV1; HV6; HV9,True,HV6; HV7; HV9; SV2; SV8,MATCH,0.3333,True,HV6; HV7; HV9; SV2; SV8,MATCH,0.3333,True,HV7; HV9; SV8,MATCH,0.2000,True,HV6; HV7; HV9; SV2; SV8,MATCH,0.3333,True,HV6; HV7; HV9; SV3; SV8,MATCH,0.3333,True,HV7; HV9; SV2; SV8,MATCH,0.1667
issue_110089251,text,True,SV8,True,HV2; SV2; SV5; SV6; SV8,MATCH,0.2000,True,HV2; SV1; SV2; SV3; SV5; SV8,MATCH,0.1667,True,HV6; HV9; SV1; SV2; SV5; SV6; SV8,MATCH,0.1429,True,HV2; SV2; SV3; SV5; SV8,MATCH,0.2000,True,SV2; SV5; SV6; SV8,MATCH,0.2500,True,HV9; SV2; SV3; SV5; SV8,MATCH,0.2000
issue_110319499,text,True,HV7,True,HV10; SV2; SV3; SV5,MATCH,0.0000,True,HV10; SV2; SV3; SV5,MATCH,0.0000,True,HV10; SV3; SV5,MATCH,0.0000,True,HV10; SV2; SV3; SV5,MATCH,0.0000,True,HV10; SV3; SV5,MATCH,0.0000,True,HV1; HV10; SV3; SV5,MATCH,0.0000
issue_110431180,text,False,,True,HV6; SV6; SV8,MISMATCH,0.0000,False,,MATCH,1.0000,True,HV6; SV6; SV8,MISMATCH,0.0000,True,HV6; SV4; SV6; SV8,MISMATCH,0.0000,True,HV6; SV4; SV8,MISMATCH,0.0000,False,,MATCH,1.0000
issue_110483642,text,True,HV10,True,HV10; SV1; SV2,MATCH,0.3333,True,HV1; HV10; HV9; SV1; SV2; SV8,MATCH,0.1667,True,HV1; HV10; SV1; SV2; SV8,MATCH,0.2000,True,HV10; HV9; SV1; SV2,MATCH,0.2500,True,HV1; HV10; HV9; SV1; SV2,MATCH,0.2000,True,HV10; HV9; SV1; SV2,MATCH,0.2500
issue_113162406,text,True,HV4; HV7; SV8,True,HV4; HV6; HV7; SV2; SV6; SV8,MATCH,0.5000,True,HV1; HV2; HV4; HV6; SV5; SV6; SV8,MATCH,0.2500,True,HV4; HV6; HV7; SV2; SV6; SV8,MATCH,0.5000,True,HV4; HV7; SV4; SV6; SV8,MATCH,0.6000,True,HV1; HV4; HV6; HV7; SV6; SV8,MATCH,0.5000,True,HV4; HV6; SV1; SV2; SV8,MATCH,0.3333
issue_114072436,text,False,,True,HV6; SV2; SV3; SV8,MISMATCH,0.0000,True,HV4; SV3; SV5; SV8,MISMATCH,0.0000,True,SV1; SV3; SV8,MISMATCH,0.0000,True,SV10; SV2; SV3; SV5,MISMATCH,0.0000,True,HV6; SV3; SV8,MISMATCH,0.0000,True,HV6; HV7; SV2; SV3,MISMATCH,0.0000
issue_114962825,text,True,SV9,True,HV6; SV8; SV9,MATCH,0.3333,True,HV2; HV6; SV3; SV8,MATCH,0.0000,True,HV6; SV3; SV6; SV8; SV9,MATCH,0.2000,True,HV6; SV3; SV6; SV8,MATCH,0.0000,True,HV6; SV3; SV6; SV8,MATCH,0.0000,True,HV4; SV6; SV8; SV9,MATCH,0.2500
issue_115244947,text,True,HV4,True,HV4; SV2; SV8,MATCH,0.3333,True,HV4; HV5; SV2; SV8,MATCH,0.2500,True,HV4; SV2; SV8,MATCH,0.3333,True,HV4; SV2; SV8,MATCH,0.3333,True,HV4; SV2; SV8,MATCH,0.3333,True,HV3; HV4; SV2; SV8,MATCH,0.2500
issue_115771280,text,False,,True,HV7; SV10; SV5; SV6,MISMATCH,0.0000,True,HV7; SV10; SV5; SV6,MISMATCH,0.0000,True,HV1; SV10; SV2; SV5; SV8,MISMATCH,0.0000,True,HV1; SV2; SV5; SV6,MISMATCH,0.0000,False,,MATCH,1.0000,True,HV1; SV2; SV5; SV6,MISMATCH,0.0000
issue_115870428,text,False,,True,HV1; SV2; SV5; SV8,MISMATCH,0.0000,True,HV2; SV2; SV5; SV8,MISMATCH,0.0000,True,HV2; SV2; SV5; SV8,MISMATCH,0.0000,True,HV2; SV2; SV5; SV8,MISMATCH,0.0000,True,SV2; SV5; SV8,MISMATCH,0.0000,True,HV1; SV2; SV5; SV8,MISMATCH,0.0000
issue_116346616,text,False,,True,HV10; SV2; SV3; SV5; SV8,MISMATCH,0.0000,True,HV6; HV7; SV2; SV3; SV5,MISMATCH,0.0000,True,HV6; SV1; SV2; SV5; SV8,MISMATCH,0.0000,True,HV10; HV7; SV2; SV3; SV5,MISMATCH,0.0000,True,HV4; HV6; HV7; SV3; SV5,MISMATCH,0.0000,True,HV10; HV7; SV2; SV5,MISMATCH,0.0000
issue_116368574,text,False,,True,HV2; HV9; SV2; SV5; SV8,MISMATCH,0.0000,True,HV2; HV9; SV2; SV3; SV5; SV8,MISMATCH,0.0000,True,HV2; SV1; SV2; SV5; SV6; SV8,MISMATCH,0.0000,True,HV2; HV6; SV2; SV5; SV8,MISMATCH,0.0000,True,HV2; HV6; SV3; SV5; SV8,MISMATCH,0.0000,True,HV3; HV9; SV2; SV3; SV5,MISMATCH,0.0000
issue_116507303,text,True,SV8,True,HV2; HV6; SV2; SV6; SV8,MATCH,0.2000,True,HV2; HV6; SV2; SV3; SV6; SV8,MATCH,0.1667,True,HV2; HV6; SV2; SV5; SV6; SV8,MATCH,0.1667,True,HV2; SV3; SV6; SV8; SV9,MATCH,0.2000,True,HV6; SV3; SV6; SV8,MATCH,0.2500,True,HV2; HV6; SV6; SV8; SV9,MATCH,0.2000
issue_116813267,text,True,HV10; HV2; SV6,True,HV6; SV2; SV6; SV8,MATCH,0.1667,True,HV2; HV6; SV2; SV5; SV6,MATCH,0.3333,True,HV2; HV6; SV1; SV2; SV5; SV6; SV8,MATCH,0.2500,True,HV2; HV6; SV2; SV6; SV8,MATCH,0.3333,True,HV6; SV2; SV6; SV8,MATCH,0.1667,True,HV6; HV9; SV2; SV8,MATCH,0.0000
issue_116922392,text,False,,True,HV1; SV1; SV2; SV5,MISMATCH,0.0000,True,HV1; SV2; SV5; SV6,MISMATCH,0.0000,True,SV1; SV2; SV5; SV6,MISMATCH,0.0000,True,HV10; SV2; SV5,MISMATCH,0.0000,True,HV1; SV2; SV5,MISMATCH,0.0000,True,HV1; SV2; SV5,MISMATCH,0.0000
issue_116960231,text,True,HV2,True,HV2; SV2; SV8,MATCH,0.3333,True,HV2; SV2; SV5; SV8,MATCH,0.2500,True,HV2; SV1; SV2; SV3; SV5; SV8,MATCH,0.1667,True,HV2; SV2; SV5; SV8,MATCH,0.2500,True,HV2; SV2; SV5; SV8,MATCH,0.2500,True,HV2; SV2; SV5; SV8,MATCH,0.2500
issue_117017973,text,True,SV9,True,HV2; SV8; SV9,MATCH,0.3333,True,HV2; HV4; SV2; SV8,MATCH,0.0000,True,HV1; HV2; SV2; SV8; SV9,MATCH,0.2000,True,HV2; SV2; SV8; SV9,MATCH,0.2500,True,SV8; SV9,MATCH,0.5000,True,HV2; SV8; SV9,MATCH,0.3333
issue_117313895,text,False,,True,SV1; SV2; SV3; SV5; SV8,MISMATCH,0.0000,True,HV1; HV6; SV2; SV5; SV8,MISMATCH,0.0000,True,HV6; SV2; SV3; SV5; SV8,MISMATCH,0.0000,True,HV6; SV2; SV3; SV5; SV8,MISMATCH,0.0000,True,SV2; SV3; SV5; SV6; SV8,MISMATCH,0.0000,True,HV1; SV2; SV3; SV5,MISMATCH,0.0000
issue_118066279,text,True,HV1; SV6; SV8,True,HV2; SV2; SV6; SV8,MATCH,0.4000,True,HV1; HV2; SV6; SV8,MATCH,0.7500,True,HV1; HV2; HV6; SV6; SV8,MATCH,0.6000,True,HV1; HV2; HV6; SV6; SV8,MATCH,0.6000,True,HV6; SV6; SV8,MATCH,0.5000,True,HV1; HV2; SV6; SV8,MATCH,0.7500
issue_118120400,text,True,HV10; HV8; HV9; SV8,True,HV6; SV2; SV3; SV6; SV8; SV9,MATCH,0.1111,True,HV4; HV6; SV2; SV3; SV5; SV6; SV8,MATCH,0.1000,True,HV4; SV1; SV2; SV3; SV5; SV8,MATCH,0.1111,True,HV10; HV4; SV3; SV5; SV8,MATCH,0.2857,True,HV10; HV4; HV6; HV7; SV3; SV6; SV8,MATCH,0.2222,True,HV4; HV6; SV3; SV5; SV8; SV9,MATCH,0.1111
issue_118217853,text,False,,True,HV2; SV2; SV8,MISMATCH,0.0000,True,HV2; SV1; SV2; SV8,MISMATCH,0.0000,True,SV1; SV2; SV8,MISMATCH,0.0000,True,HV2; SV2; SV5; SV8,MISMATCH,0.0000,True,SV2; SV8,MISMATCH,0.0000,True,SV1; SV2; SV8,MISMATCH,0.0000
issue_118254996,text,False,,True,SV2; SV5; SV6; SV8,MISMATCH,0.0000,True,HV2; HV9; SV2; SV5; SV6; SV8,MISMATCH,0.0000,True,HV9; SV2; SV5; SV8,MISMATCH,0.0000,True,HV2; SV2; SV5; SV8,MISMATCH,0.0000,True,HV9; SV1; SV2; SV5; SV8,MISMATCH,0.0000,True,HV9; SV1; SV2; SV5,MISMATCH,0.0000
issue_118544637,text,False,,True,HV1; SV2; SV8,MISMATCH,0.0000,True,HV1; SV2; SV8,MISMATCH,0.0000,True,HV1; SV1; SV6; SV8,MISMATCH,0.0000,True,HV1; SV8,MISMATCH,0.0000,True,HV1; SV2; SV8,MISMATCH,0.0000,True,HV1; SV2; SV8,MISMATCH,0.0000
issue_118917548,text,False,,True,HV2; SV2; SV3; SV5; SV8,MISMATCH,0.0000,True,HV2; SV2; SV3; SV5; SV8,MISMATCH,0.0000,True,HV2; SV1; SV2; SV3; SV5; SV8,MISMATCH,0.0000,True,HV2; SV2; SV3; SV5; SV8,MISMATCH,0.0000,True,SV2; SV3; SV5; SV8,MISMATCH,0.0000,True,SV2; SV3; SV5; SV8,MISMATCH,0.0000
issue_119284589,text,False,,True,HV10; SV2; SV5; SV8,MISMATCH,0.0000,True,HV10; HV2; SV2; SV5; SV8,MISMATCH,0.0000,True,HV10; HV6; SV1; SV2; SV5,MISMATCH,0.0000,True,HV10; HV2; SV2; SV5; SV8,MISMATCH,0.0000,True,HV10; SV1; SV2; SV5; SV8,MISMATCH,0.0000,True,HV10; SV1; SV2; SV5; SV8,MISMATCH,0.0000
issue_119325514,text,True,SV8,True,SV2; SV6; SV8,MATCH,0.3333,True,HV3; HV9; SV2; SV8,MATCH,0.2500,True,SV2; SV8,MATCH,0.5000,True,HV2; SV2; SV8,MATCH,0.3333,True,SV2; SV8,MATCH,0.5000,True,HV4; SV2; SV8,MATCH,0.3333
issue_119348827,text,True,HV1,True,HV1; SV2; SV8,MATCH,0.3333,True,HV1; HV2; SV8,MATCH,0.3333,True,HV1; SV8,MATCH,0.5000,True,HV1; SV8,MATCH,0.5000,True,HV1; SV8,MATCH,0.5000,True,HV1; SV1; SV8,MATCH,0.3333
issue_119496897,text,True,HV9,True,HV3; HV6; HV9; SV1; SV8,MATCH,0.2000,True,HV5; HV6; HV9; SV8,MATCH,0.2500,True,HV3; HV6; HV9; SV6; SV8,MATCH,0.2000,True,HV5; HV6; HV9; SV8,MATCH,0.2500,True,HV5; HV6; HV9; SV8,MATCH,0.2500,True,HV3; HV6; HV9; SV1,MATCH,0.2500
issue_119787900,text,False,,True,HV6; HV7; SV2; SV3; SV8,MISMATCH,0.0000,True,HV6; HV7; HV8; SV2; SV8,MISMATCH,0.0000,True,HV6; HV7; SV2; SV5; SV8,MISMATCH,0.0000,True,HV1; HV6; HV7; SV8,MISMATCH,0.0000,True,HV1; HV6; HV7; HV8; SV2; SV5; SV8,MISMATCH,0.0000,True,HV1; HV6; SV2; SV5,MISMATCH,0.0000
issue_119957529,text,True,SV8,True,HV2; SV2; SV6; SV8,MATCH,0.2500,True,HV2; SV6; SV8,MATCH,0.3333,True,HV2; SV8,MATCH,0.5000,True,HV2; SV2; SV8,MATCH,0.3333,True,HV2; SV8,MATCH,0.5000,True,HV2; SV2; SV8,MATCH,0.3333
issue_120312171,text,False,,True,SV2; SV3; SV5; SV8,MISMATCH,0.0000,True,HV2; SV2; SV5; SV8,MISMATCH,0.0000,True,SV2; SV3; SV5; SV8,MISMATCH,0.0000,True,SV2; SV5; SV8,MISMATCH,0.0000,True,HV1; SV2; SV3; SV5; SV8,MISMATCH,0.0000,True,SV2; SV3; SV5; SV8,MISMATCH,0.0000
issue_120555377,text,True,HV9,True,HV10; HV9; SV1; SV2; SV8,MATCH,0.2000,True,HV10; HV9; SV1; SV2; SV5,MATCH,0.2000,True,HV10; HV9; SV1; SV2; SV8,MATCH,0.2000,True,HV10; HV9; SV1; SV2; SV5,MATCH,0.2000,True,HV10; HV9; SV1,MATCH,0.3333,True,HV10; HV9; SV1; SV2; SV8,MATCH,0.2000
issue_121789375,text,False,,True,SV2; SV3; SV5; SV8,MISMATCH,0.0000,True,HV2; SV2; SV3; SV5; SV8,MISMATCH,0.0000,True,SV2; SV3; SV5; SV8,MISMATCH,0.0000,True,HV2; SV2; SV3; SV5; SV8,MISMATCH,0.0000,True,SV3; SV5; SV8,MISMATCH,0.0000,True,HV4; SV2; SV3; SV5; SV8,MISMATCH,0.0000
issue_122044606,text,False,,True,HV1; SV2; SV5; SV6,MISMATCH,0.0000,True,HV1; SV2; SV5; SV6,MISMATCH,0.0000,True,HV1; SV2; SV5; SV6,MISMATCH,0.0000,True,HV7; SV2; SV5,MISMATCH,0.0000,True,SV2; SV5; SV6,MISMATCH,0.0000,True,HV1; SV2; SV5; SV8,MISMATCH,0.0000
issue_123105788,text,False,,True,SV2; SV5; SV6; SV8,MISMATCH,0.0000,True,HV2; SV2; SV6; SV8,MISMATCH,0.0000,True,HV2; SV2; SV5; SV6; SV8,MISMATCH,0.0000,True,SV2; SV5; SV6; SV8,MISMATCH,0.0000,True,SV2; SV5; SV6; SV8,MISMATCH,0.0000,True,SV2; SV5; SV6; SV8,MISMATCH,0.0000
issue_123262445,text,False,,True,SV1; SV2; SV5; SV8,MISMATCH,0.0000,True,HV9; SV1; SV2; SV5; SV8,MISMATCH,0.0000,True,SV1; SV2; SV5; SV8,MISMATCH,0.0000,True,SV1; SV2; SV5,MISMATCH,0.0000,True,SV1; SV2; SV5; SV8,MISMATCH,0.0000,True,HV10; HV9; SV1; SV2; SV5,MISMATCH,0.0000
issue_123994629,text,True,HV5,True,HV5; SV2; SV5; SV8,MATCH,0.2500,True,HV5; SV2; SV5; SV8,MATCH,0.2500,True,HV6; SV1; SV2; SV5; SV6; SV8,MATCH,0.0000,True,HV2; SV2; SV5; SV8,MATCH,0.0000,True,HV5; HV6; SV1; SV2; SV5; SV8,MATCH,0.1667,True,HV5; SV1; SV5; SV8,MATCH,0.2500
issue_123998446,text,True,HV5,True,SV2; SV3; SV5; SV8,MATCH,0.0000,True,HV5; SV2; SV3; SV5; SV8,MATCH,0.2000,True,SV2; SV3; SV5; SV6; SV8,MATCH,0.0000,True,HV2; HV5; SV2; SV3; SV5,MATCH,0.2000,True,SV2; SV3; SV5; SV8,MATCH,0.0000,True,HV5; SV2; SV3; SV5,MATCH,0.2500
issue_124085444,text,True,HV10; HV9,True,HV10; HV6; HV7; HV9; SV1; SV8,MATCH,0.3333,True,HV10; HV6; HV9; SV2; SV8,MATCH,0.4000,True,HV1; HV10; HV6; HV7; HV9; SV2; SV5; SV8,MATCH,0.2500,True,HV10; HV6; HV9; SV2; SV8,MATCH,0.4000,True,HV10; HV6; HV9; SV8,MATCH,0.5000,True,HV10; HV6; HV9; SV1; SV2,MATCH,0.4000
issue_124101231,text,True,HV9,True,HV6; HV9; SV1,MATCH,0.3333,True,HV6; HV9; SV1,MATCH,0.3333,True,HV9,MATCH,1.0000,True,HV6; HV9; SV1,MATCH,0.3333,True,HV6; HV9; SV1,MATCH,0.3333,True,HV6; HV9; SV1,MATCH,0.3333
issue_124103761,text,False,,True,SV1; SV2; SV5; SV8,MISMATCH,0.0000,True,HV2; SV1; SV2; SV5; SV6,MISMATCH,0.0000,True,SV1; SV2; SV5; SV8,MISMATCH,0.0000,True,HV2; SV2; SV5; SV8,MISMATCH,0.0000,True,SV1; SV2; SV8,MISMATCH,0.0000,True,HV10; HV9; SV2; SV5,MISMATCH,0.0000
issue_124278876,text,True,HV6; SV8,True,HV6; HV9; SV2; SV3; SV8,MATCH,0.4000,True,HV6; HV9; SV2; SV3; SV8,MATCH,0.4000,True,HV6; HV9; SV1; SV2; SV3; SV8,MATCH,0.3333,True,HV6; HV9; SV2; SV3; SV8,MATCH,0.4000,True,HV6; HV9; SV2; SV8,MATCH,0.5000,True,HV6; HV9; SV2; SV8,MATCH,0.5000
issue_124311738,text,False,,True,SV2; SV5; SV6; SV8,MISMATCH,0.0000,True,HV1; HV2; SV2; SV8,MISMATCH,0.0000,True,SV1; SV2; SV6; SV8,MISMATCH,0.0000,True,SV2; SV6; SV8,MISMATCH,0.0000,True,SV2; SV8,MISMATCH,0.0000,True,HV1; SV1; SV2; SV8,MISMATCH,0.0000
issue_124945799,text,False,,True,SV1; SV2; SV5; SV8,MISMATCH,0.0000,True,HV2; HV9; SV2; SV5; SV8,MISMATCH,0.0000,True,HV2; HV6; SV1; SV2; SV5; SV6; SV8,MISMATCH,0.0000,True,HV6; SV2; SV5; SV8,MISMATCH,0.0000,True,HV6; SV2; SV5; SV8,MISMATCH,0.0000,True,HV10; HV6; SV2; SV5; SV8,MISMATCH,0.0000
issue_125084837,text,False,,True,HV10; HV9; SV2; SV8,MISMATCH,0.0000,True,HV6; HV9; SV2; SV8,MISMATCH,0.0000,True,SV2; SV6; SV8,MISMATCH,0.0000,True,HV10; SV2; SV3; SV8,MISMATCH,0.0000,True,SV2; SV3; SV8,MISMATCH,0.0000,True,HV10; HV9; SV2; SV8,MISMATCH,0.0000
issue_125169819,text,False,,True,HV2; SV2; SV8,MISMATCH,0.0000,True,HV2; SV2; SV8,MISMATCH,0.0000,True,HV2; SV8; SV9,MISMATCH,0.0000,True,HV2; SV2; SV8,MISMATCH,0.0000,True,SV8; SV9,MISMATCH,0.0000,True,HV2; SV8; SV9,MISMATCH,0.0000
